column_name,is_updated_column,possible_original_name,original_column_exists
MetaSVM_pred_new,TRUE,MetaSVM_pred,FALSE
MetaSVM_rankscore_new,TRUE,MetaSVM_rankscore,FALSE
MisFit_D_pred_lenient_new,TRUE,MisFit_D_pred_lenient,FALSE
MisFit_D_pred_stringent_new,TRUE,MisFit_D_pred_stringent,FALSE
MisFit_D_rankscore_new,TRUE,MisFit_D_rankscore,FALSE
MisFit_D_score_new,TRUE,MisFit_D_score,FALSE
MisFit_S_rankscore_new,TRUE,MisFit_S_rankscore,FALSE
MisFit_S_score_new,TRUE,MisFit_S_score,FALSE
MutFormer_rankscore_new,TRUE,MutFormer_rankscore,FALSE
MutFormer_score_new,TRUE,MutFormer_score,FALSE
MutPred2_pred_new,TRUE,MutPred2_pred,FALSE
MutPred2_rankscore_new,TRUE,MutPred2_rankscore,FALSE
MutPred2_score_new,TRUE,MutPred2_score,FALSE
MutPred2_top5_mechanisms_new,TRUE,MutPred2_top5_mechanisms,FALSE
MutationAssessor_pred_new,TRUE,MutationAssessor_pred,FALSE
MutationAssessor_rankscore_new,TRUE,MutationAssessor_rankscore,FALSE
MutationAssessor_score_new,TRUE,MutationAssessor_score,FALSE
MutationTaster_model_new,TRUE,MutationTaster_model,FALSE
MutationTaster_pred_new,TRUE,MutationTaster_pred,FALSE
MutationTaster_rankscore_new,TRUE,MutationTaster_rankscore,FALSE
MutationTaster_trees_benign_new,TRUE,MutationTaster_trees_benign,FALSE
MutationTaster_trees_deleterious_new,TRUE,MutationTaster_trees_deleterious,FALSE
OMIM_id_new,TRUE,OMIM_id,FALSE
Orphanet_association_type_new,TRUE,Orphanet_association_type,FALSE
Orphanet_disorder_id_new,TRUE,Orphanet_disorder_id,FALSE
Orphanet_disorder_new,TRUE,Orphanet_disorder,FALSE
PHACTboost_rankscore_new,TRUE,PHACTboost_rankscore,FALSE
PHACTboost_score_new,TRUE,PHACTboost_score,FALSE
PHENO_new,TRUE,PHENO,FALSE
PROVEAN_converted_rankscore_new,TRUE,PROVEAN_converted_rankscore,FALSE
PROVEAN_pred_new,TRUE,PROVEAN_pred,FALSE
PROVEAN_score_new,TRUE,PROVEAN_score,FALSE
PUBMED_new,TRUE,PUBMED,FALSE
P_HI_new,TRUE,P_HI,FALSE
P_rec_new,TRUE,P_rec,FALSE
Pathway_BioCarta__full_new,TRUE,Pathway_BioCarta__full,FALSE
Pathway_BioCarta__short_new,TRUE,Pathway_BioCarta__short,FALSE
Pathway_ConsensusPathDB_new,TRUE,Pathway_ConsensusPathDB,FALSE
Pathway_KEGG__full_new,TRUE,Pathway_KEGG__full,FALSE
Pathway_KEGG__id_new,TRUE,Pathway_KEGG__id,FALSE
Pathway_Uniprot_new,TRUE,Pathway_Uniprot,FALSE
PolyPhen_new,TRUE,PolyPhen,FALSE
PrimateAI_pred_new,TRUE,PrimateAI_pred,FALSE
