tool_category,tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present
Individual missense predictor,SIFT,Non-coding/regulatory,143,14,129,9.8,SIFT_score; SIFT_new
Individual missense predictor,PolyPhen-2,Non-coding/regulatory,143,14,129,9.8,PolyPhen_score; PolyPhen_new
Individual missense predictor,MutationTaster,Non-coding/regulatory,143,14,129,9.8,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new
Individual missense predictor,LRT,Non-coding/regulatory,143,14,129,9.8,LRT_score
Individual missense predictor,PROVEAN,Non-coding/regulatory,143,14,129,9.8,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new
Individual missense predictor,FATHMM,Non-coding/regulatory,143,14,129,9.8,FATHMM_score_seperated
Meta/ensemble predictor,FATHMM-MKL,Non-coding/regulatory,143,14,129,9.8,fathmm-MKL_coding_score
Meta/ensemble predictor,REVEL,Non-coding/regulatory,143,14,129,9.8,REVEL_score; REVEL_score_new; REVEL_new
Meta/ensemble predictor,ClinPred,Non-coding/regulatory,143,14,129,9.8,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new
Meta/ensemble predictor,MetaSVM,Non-coding/regulatory,143,14,129,9.8,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new
Meta/ensemble predictor,MetaLR,Non-coding/regulatory,143,14,129,9.8,MetaLR_score; MetaLR_score_new; MetaLR_pred_new
Meta/ensemble predictor,BayesDel addAF,Non-coding/regulatory,143,14,129,9.8,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new
Meta/ensemble predictor,LIST-S2,Non-coding/regulatory,143,14,129,9.8,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new
Continuous deleteriousness / constraint score,DANN,Non-coding/regulatory,143,14,129,9.8,DANN_score; DANN_score_new
Modern/deep learning predictor,MutPred / MutPred2,Non-coding/regulatory,143,14,129,9.8,MutPred_score; MutPred2_score_new; MutPred2_pred_new
Individual missense predictor,VEST4,Non-coding/regulatory,143,14,129,9.8,VEST4_score_seperated
Conservation score,GERP++,Non-coding/regulatory,143,14,129,9.8,GERP++_RS
Conservation score,phyloP,Non-coding/regulatory,143,14,129,9.8,phyloP100way_vertebrate; phyloP30way_mammalian; phyloP17way_primate_new
Conservation score,phastCons,Non-coding/regulatory,143,14,129,9.8,phastCons30way_mammalian; phastCons17way_primate; phastCons17way_primate_new
Conservation score,SiPhy,Non-coding/regulatory,143,14,129,9.8,SiPhy_29way_logOdds
Conservation score,fitCons,Non-coding/regulatory,143,14,129,9.8,integrated_fitCons_score
Meta/ensemble predictor,Condel,Non-coding/regulatory,143,14,129,9.8,Condel_score
Individual missense predictor,MutationAssessor,Non-coding/regulatory,143,11,132,7.7,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new
Modern/deep learning predictor,FATHMM-XF,Non-coding/regulatory,143,0,143,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new
Meta/ensemble predictor,BayesDel noAF,Non-coding/regulatory,143,0,143,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new
Modern/deep learning predictor,DEOGEN2,Non-coding/regulatory,143,0,143,0,DEOGEN2_score_new; DEOGEN2_pred_new
Modern/deep learning predictor,ESM1b,Non-coding/regulatory,143,0,143,0,ESM1b_score_new; ESM1b_pred_new
Modern/deep learning predictor,MetaRNN,Non-coding/regulatory,143,0,143,0,MetaRNN_score_new; MetaRNN_pred_new
Modern/deep learning predictor,PrimateAI,Non-coding/regulatory,143,0,143,0,PrimateAI_score_new; PrimateAI_pred_new
Modern/deep learning predictor,AlphaMissense,Non-coding/regulatory,143,0,143,0,am_class_new; am_pathogenicity_new
Modern/deep learning predictor,EVE,Non-coding/regulatory,143,0,143,0,EVE_CLASS_new; EVE_SCORE_new
Modern/deep learning predictor,popEVE,Non-coding/regulatory,143,0,143,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new
Continuous deleteriousness / constraint score,MPC,Non-coding/regulatory,143,0,143,0,MPC_score_new
Continuous deleteriousness / constraint score,MVP,Non-coding/regulatory,143,0,143,0,MVP_score_new
Continuous deleteriousness / constraint score,MutFormer,Non-coding/regulatory,143,0,143,0,MutFormer_score_new
Continuous deleteriousness / constraint score,PHACTboost,Non-coding/regulatory,143,0,143,0,PHACTboost_score_new
Continuous deleteriousness / constraint score,VARITY-R,Non-coding/regulatory,143,0,143,0,VARITY_R_score_new
Continuous deleteriousness / constraint score,VARITY-ER,Non-coding/regulatory,143,0,143,0,VARITY_ER_score_new
