threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
16.98,16.98,742,443,116,75,108,0.753,0.804,0.607,0.706,0.392
16.92,16.92,742,445,115,76,106,0.755,0.808,0.602,0.705,0.392
15.54,15.54,742,468,103,88,83,0.77,0.849,0.539,0.694,0.392
6.76,6.76,742,524,66,125,27,0.795,0.951,0.346,0.648,0.392
18.96,18.96,742,415,129,62,136,0.733,0.753,0.675,0.714,0.391
18.86,18.86,742,417,128,63,134,0.735,0.757,0.67,0.713,0.391
18.71,18.71,742,419,127,64,132,0.736,0.76,0.665,0.713,0.39
17.83,17.83,742,434,120,71,117,0.747,0.788,0.628,0.708,0.39
17.41,17.41,742,438,118,73,113,0.749,0.795,0.618,0.706,0.39
18.88,18.88,742,416,128,63,135,0.733,0.755,0.67,0.713,0.389
19.02,19.02,742,414,129,62,137,0.732,0.751,0.675,0.713,0.389
16.93,16.93,742,444,115,76,107,0.753,0.806,0.602,0.704,0.389
18.77,18.77,742,418,127,64,133,0.735,0.759,0.665,0.712,0.388
19.08,19.08,742,413,129,62,138,0.73,0.75,0.675,0.712,0.387
6.887,6.887,742,523,66,125,28,0.794,0.949,0.346,0.647,0.387
18.8,18.8,742,417,127,64,134,0.733,0.757,0.665,0.711,0.386
6.414,6.414,742,524,65,126,27,0.794,0.951,0.34,0.646,0.386
6.321,6.321,742,525,64,127,26,0.794,0.953,0.335,0.644,0.386
19.1,19.1,742,412,129,62,139,0.729,0.748,0.675,0.712,0.385
19.2,19.2,742,411,129,62,140,0.728,0.746,0.675,0.711,0.383
19.24,19.24,742,410,129,62,141,0.726,0.744,0.675,0.71,0.381
6.372,6.372,742,524,64,127,27,0.792,0.951,0.335,0.643,0.381
19.35,19.35,742,405,131,60,146,0.722,0.735,0.686,0.71,0.38
5.995,5.995,742,525,63,128,26,0.792,0.953,0.33,0.641,0.38
19.47,19.47,742,404,131,60,147,0.721,0.733,0.686,0.71,0.379
19.27,19.27,742,409,129,62,142,0.725,0.742,0.675,0.709,0.379
19.31,19.31,742,406,130,61,145,0.722,0.737,0.681,0.709,0.378
19.28,19.28,742,408,129,62,143,0.724,0.74,0.675,0.708,0.377
19.53,19.53,742,402,131,60,149,0.718,0.73,0.686,0.708,0.375
19.29,19.29,742,407,129,62,144,0.722,0.739,0.675,0.707,0.375
5.605,5.605,742,525,62,129,26,0.791,0.953,0.325,0.639,0.375
19.3,19.3,742,406,129,62,145,0.721,0.737,0.675,0.706,0.373
5.346,5.346,742,525,61,130,26,0.79,0.953,0.319,0.636,0.37
20.1,20.1,742,387,136,55,164,0.705,0.702,0.712,0.707,0.369
19.55,19.55,742,399,131,60,152,0.714,0.724,0.686,0.705,0.369
20.3,20.3,742,384,137,54,167,0.702,0.697,0.717,0.707,0.368
20.2,20.2,742,386,136,55,165,0.704,0.701,0.712,0.706,0.367
19.57,19.57,742,398,131,60,153,0.713,0.722,0.686,0.704,0.367
19.7,19.7,742,395,132,59,156,0.71,0.717,0.691,0.704,0.366
19.97,19.97,742,387,135,56,164,0.704,0.702,0.707,0.705,0.365
19.59,19.59,742,397,131,60,154,0.712,0.721,0.686,0.703,0.365
5.137,5.137,742,525,60,131,26,0.788,0.953,0.314,0.633,0.365
19.71,19.71,742,394,132,59,157,0.709,0.715,0.691,0.703,0.364
19.83,19.83,742,391,133,58,160,0.706,0.71,0.696,0.703,0.363
19.66,19.66,742,396,131,60,155,0.71,0.719,0.686,0.702,0.363
19.95,19.95,742,388,134,57,163,0.704,0.704,0.702,0.703,0.362
19.75,19.75,742,393,132,59,158,0.708,0.713,0.691,0.702,0.362
